YearMonth,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,OH
2014-01,59,100,199,222,166,243,232,168,156,175,254,67,61,100,182,105,74,126,46,56,73,93,62,98,196,9
2014-02,72,91,182,208,164,238,229,173,164,162,215,66,68,102,137,90,84,97,45,54,87,99,50,91,185,5
2014-03,61,130,230,276,263,298,264,232,192,187,290,74,92,114,226,97,88,122,43,60,83,110,83,124,215,4
2014-04,62,134,258,259,240,336,336,211,216,226,314,94,92,121,251,94,98,113,52,63,97,124,71,92,214,5
2014-05,97,141,275,335,270,356,353,264,244,271,368,94,100,128,277,128,127,113,68,66,115,140,79,108,261,5
2014-06,79,144,298,349,277,330,332,259,278,259,357,89,92,148,252,118,96,108,74,75,109,134,115,140,289,7
2014-07,87,140,298,312,257,328,383,243,248,270,382,99,84,135,251,128,116,140,52,64,89,142,109,133,259,5
2014-08,93,153,248,327,237,332,363,272,241,261,367,77,107,128,256,140,112,147,60,85,92,128,90,151,253,4
2014-09,91,134,231,303,181,302,311,252,189,211,313,92,102,160,205,140,112,121,44,62,100,114,86,124,228,7
2014-10,75,143,242,240,214,270,317,211,194,239,312,89,90,113,241,110,107,98,41,55,73,127,73,124,244,7
2014-11,83,113,218,239,178,229,268,221,208,172,250,83,71,100,204,96,98,105,56,59,95,103,59,118,224,4
2014-12,71,114,220,272,202,277,258,185,203,170,243,81,88,90,170,105,100,113,41,55,77,125,47,107,211,11
2015-01,66,105,237,254,203,234,235,211,161,164,262,65,65,76,184,102,105,81,40,42,123,113,59,108,218,12
2015-02,58,103,170,213,147,238,180,180,134,147,190,63,60,86,139,77,80,83,38,45,69,99,34,92,165,4
2015-03,97,138,275,292,191,284,295,263,187,215,322,84,71,86,215,109,119,103,66,65,102,122,69,102,240,3
2015-04,74,131,247,271,214,305,312,248,239,236,323,84,82,111,224,123,93,79,39,51,96,124,71,99,223,11
2015-05,75,129,285,354,268,326,368,295,253,300,383,91,102,112,270,126,142,121,60,59,97,158,101,112,271,8
2015-06,87,147,263,309,214,318,347,264,240,215,361,109,109,113,233,135,107,104,64,57,84,165,123,105,262,13
2015-07,116,133,258,325,245,319,314,254,212,262,353,94,93,130,253,127,96,102,45,65,123,139,87,126,276,8
2015-08,89,139,287,350,241,314,338,260,239,245,347,94,92,125,235,114,127,118,68,82,87,129,125,119,224,15
2015-09,75,135,270,261,240,279,329,225,209,232,352,96,91,114,222,107,123,94,53,56,92,131,107,115,231,7
2015-10,81,137,223,283,209,280,287,255,162,238,292,71,84,88,228,110,106,112,61,68,75,120,93,107,235,11
2015-11,73,107,231,243,176,249,237,207,193,193,229,79,75,96,194,82,106,126,43,55,86,87,81,76,198,6
2015-12,74,87,259,209,166,259,281,215,193,183,274,85,78,99,195,106,114,111,42,56,70,102,65,89,224,4
2016-01,86,115,202,278,144,271,263,236,165,202,295,82,90,106,200,78,92,102,43,66,88,115,71,103,203,5
2016-02,64,105,200,232,173,229,255,196,158,207,247,79,75,86,210,100,114,107,41,43,68,145,65,100,178,6
2016-03,77,124,258,245,240,324,329,238,202,245,375,91,83,103,239,109,119,122,44,59,82,145,71,109,211,7
2016-04,78,105,272,280,205,260,282,256,182,236,332,83,86,96,233,94,113,103,45,52,85,120,79,124,200,10
2016-05,113,121,242,318,247,324,311,290,249,287,380,84,86,134,264,113,133,132,57,62,98,139,97,140,267,5
2016-06,97,141,290,306,269,334,333,277,231,275,425,105,105,127,293,118,124,135,52,52,95,150,126,100,261,6
2016-07,122,140,270,318,261,335,330,250,252,274,336,90,98,137,292,136,94,125,53,67,101,116,99,101,248,6
2016-08,99,152,265,319,246,349,305,265,234,306,378,84,88,107,216,105,113,144,55,58,97,121,106,114,234,9
2016-09,94,106,232,287,205,312,288,265,263,257,353,89,87,127,212,102,114,123,40,82,83,131,108,107,217,9
2016-10,78,126,246,299,212,378,267,254,204,258,315,94,77,123,204,120,94,139,57,68,113,128,117,126,224,9
2016-11,94,122,233,277,217,256,241,211,194,216,279,84,76,85,202,102,85,108,54,56,85,123,91,107,194,4
2016-12,79,85,180,246,171,273,225,205,180,192,243,82,51,96,169,111,90,111,37,57,67,112,65,94,195,11
2017-01,69,96,197,262,161,298,220,229,155,210,253,81,61,100,159,79,119,124,55,54,93,118,61,92,194,9
2017-02,80,102,207,241,181,254,222,212,157,184,254,60,64,89,182,83,75,130,47,48,96,100,68,93,159,9
2017-03,116,115,224,281,174,295,251,238,157,202,283,97,85,118,196,108,97,118,50,59,95,124,73,92,182,13
2017-04,95,125,243,289,231,346,280,249,199,237,329,76,77,85,200,111,95,118,33,54,80,102,82,109,229,10
2017-05,103,133,308,313,259,327,316,280,214,264,359,95,75,116,219,138,95,139,56,63,91,142,85,109,232,12
2017-06,114,154,275,298,254,317,318,266,206,245,421,84,77,136,253,120,112,146,49,56,120,136,113,111,238,10
2017-07,122,148,294,294,231,316,346,268,231,246,373,96,76,109,258,119,93,167,56,69,112,150,103,139,251,11
2017-08,135,148,279,299,233,289,312,236,194,262,336,104,79,123,225,110,100,142,46,58,108,127,97,113,237,7
2017-09,106,107,273,327,209,326,308,227,213,256,349,87,90,109,221,106,109,154,62,84,106,114,89,139,196,11
2017-10,96,140,232,276,206,276,257,257,214,205,312,95,70,118,195,124,110,145,52,81,91,130,95,121,223,13
2017-11,87,152,251,247,194,244,248,227,165,205,256,86,74,100,154,113,78,118,30,57,108,121,62,115,183,12
2017-12,76,116,232,257,197,286,208,211,159,190,237,103,81,101,170,100,86,117,36,70,89,119,70,108,203,8
2018-01,97,119,238,235,179,262,237,214,149,183,275,63,64,70,138,86,108,136,38,90,91,116,80,86,203,6
2018-02,87,106,179,233,151,241,174,197,142,164,242,60,54,83,150,84,100,112,33,56,67,108,70,112,170,11
2018-03,125,103,236,262,203,274,255,239,165,196,287,79,85,96,216,113,110,113,48,74,97,152,85,106,200,15
2018-04,92,126,226,245,237,245,283,216,153,203,282,78,95,77,172,92,102,143,53,60,93,121,82,89,211,9
2018-05,123,152,269,325,271,354,388,306,216,243,413,98,94,128,269,131,118,170,72,75,117,140,100,119,251,14
2018-06,107,165,292,297,262,332,304,252,213,235,373,92,79,120,226,127,114,158,56,85,105,148,109,128,232,9
2018-07,132,168,256,303,230,368,346,296,215,260,400,112,82,119,244,110,114,192,59,80,119,148,100,154,240,13
2018-08,139,141,263,309,236,318,346,278,185,257,389,100,102,128,238,113,122,153,53,78,95,96,106,126,211,13
2018-09,120,123,237,285,238,296,295,235,206,242,332,87,80,100,226,108,111,151,65,71,127,142,103,115,222,9
2018-10,118,119,219,282,192,312,278,261,206,226,353,101,88,125,185,113,115,168,41,97,122,111,75,126,222,6
2018-11,97,136,209,216,169,287,245,214,148,196,258,86,70,82,163,117,84,124,40,59,97,111,67,92,228,8
2018-12,111,101,227,296,179,293,251,198,154,216,256,91,70,104,176,114,96,163,40,72,106,105,65,107,208,10
2019-01,90,100,226,243,169,247,235,213,137,195,249,83,77,63,183,114,90,135,43,56,109,95,73,101,174,10
