YearMonth,DISTNO,PrimaryType,CaseCount
2014-01,OH,THEFT,43
2014-01,OH,BATTERY,9
2014-01,OH,CRIMINAL DAMAGE,4
2014-01,16,THEFT,158
2014-01,16,BATTERY,105
2014-01,16,CRIMINAL DAMAGE,77
2014-01,17,THEFT,137
2014-01,17,BATTERY,74
2014-01,17,CRIMINAL DAMAGE,73
2014-01,25,THEFT,196
2014-01,25,BATTERY,196
2014-01,25,CRIMINAL DAMAGE,108
2014-01,14,THEFT,242
2014-01,14,BATTERY,100
2014-01,14,CRIMINAL DAMAGE,62
2014-01,24,THEFT,154
2014-01,24,BATTERY,98
2014-01,24,CRIMINAL DAMAGE,71
2014-01,20,THEFT,98
2014-01,20,BATTERY,56
2014-01,20,CRIMINAL DAMAGE,20
2014-01,18,THEFT,382
2014-01,18,BATTERY,126
2014-01,18,CRIMINAL DAMAGE,52
2014-01,19,THEFT,183
2014-01,19,BATTERY,46
2014-01,19,CRIMINAL DAMAGE,54
2014-01,23,THEFT,115
2014-01,23,BATTERY,62
2014-01,23,CRIMINAL DAMAGE,24
2014-01,1,THEFT,339
2014-01,1,BATTERY,59
2014-01,1,CRIMINAL DAMAGE,19
2014-01,12,THEFT,133
2014-01,12,BATTERY,67
2014-01,12,CRIMINAL DAMAGE,59
2014-01,10,THEFT,112
2014-01,10,BATTERY,175
2014-01,10,CRIMINAL DAMAGE,70
2014-01,13,THEFT,170
2014-01,13,BATTERY,61
2014-01,13,CRIMINAL DAMAGE,53
2014-01,11,THEFT,161
2014-01,11,BATTERY,254
2014-01,11,CRIMINAL DAMAGE,83
2014-01,15,THEFT,100
2014-01,15,BATTERY,182
2014-01,15,CRIMINAL DAMAGE,56
2014-01,8,THEFT,207
2014-01,8,BATTERY,168
2014-01,8,CRIMINAL DAMAGE,162
2014-01,4,THEFT,200
2014-01,4,BATTERY,222
2014-01,4,CRIMINAL DAMAGE,97
2014-01,5,THEFT,141
2014-01,5,BATTERY,166
2014-01,5,CRIMINAL DAMAGE,86
2014-01,6,THEFT,221
2014-01,6,BATTERY,243
2014-01,6,CRIMINAL DAMAGE,89
2014-01,22,THEFT,146
2014-01,22,BATTERY,93
2014-01,22,CRIMINAL DAMAGE,65
2014-01,9,THEFT,171
2014-01,9,BATTERY,156
2014-01,9,CRIMINAL DAMAGE,134
2014-01,7,THEFT,182
2014-01,7,BATTERY,232
2014-01,7,CRIMINAL DAMAGE,90
2014-01,2,THEFT,81
2014-01,2,BATTERY,100
2014-01,2,CRIMINAL DAMAGE,41
2014-01,3,THEFT,164
2014-01,3,BATTERY,199
2014-01,3,CRIMINAL DAMAGE,86
2014-01,21,THEFT,155
2014-01,21,BATTERY,73
2014-01,21,CRIMINAL DAMAGE,44
2014-02,OH,THEFT,17
2014-02,OH,BATTERY,5
2014-02,OH,CRIMINAL DAMAGE,2
2014-02,16,THEFT,124
2014-02,16,BATTERY,90
2014-02,16,CRIMINAL DAMAGE,66
2014-02,17,THEFT,140
2014-02,17,BATTERY,84
2014-02,17,CRIMINAL DAMAGE,78
2014-02,25,THEFT,200
2014-02,25,BATTERY,185
2014-02,25,CRIMINAL DAMAGE,105
2014-02,14,THEFT,202
2014-02,14,BATTERY,102
2014-02,14,CRIMINAL DAMAGE,66
2014-02,24,THEFT,83
2014-02,24,BATTERY,91
2014-02,24,CRIMINAL DAMAGE,41
2014-02,20,THEFT,81
2014-02,20,BATTERY,54
2014-02,20,CRIMINAL DAMAGE,41
2014-02,18,THEFT,359
