YearMonth,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,OH
2014-01,758,500,993,1110,864,1171,1111,1253,980,768,1622,438,504,673,860,636,527,866,464,318,458,579,389,576,1066,158
2014-02,706,430,837,978,809,1086,989,1103,943,786,1471,390,454,596,770,540,542,798,392,312,420,557,368,453,997,102
2014-03,791,642,1078,1311,1031,1414,1240,1434,1035,890,1714,534,570,725,1076,669,564,952,425,304,500,655,469,610,1226,115
2014-04,714,578,1158,1383,1059,1374,1334,1499,1113,998,1794,549,576,773,1098,630,610,869,445,348,619,748,496,573,1211,124
2014-05,834,672,1197,1490,1223,1475,1342,1534,1171,1146,1842,555,564,856,1279,730,692,1050,534,366,643,776,541,657,1358,127
2014-06,884,685,1246,1655,1163,1528,1404,1547,1184,1130,1824,534,631,887,1173,707,608,1035,602,415,708,804,681,695,1318,149
2014-07,895,659,1316,1666,1197,1694,1530,1531,1332,1227,1919,576,601,928,1280,701,689,1178,614,385,682,859,640,716,1356,156
2014-08,978,677,1260,1659,1048,1516,1462,1560,1182,1107,1959,545,638,815,1336,715,664,1083,651,456,641,782,606,728,1364,156
2014-09,887,638,1142,1504,994,1455,1336,1512,1120,1012,1747,582,550,813,1150,743,625,897,548,362,629,747,549,633,1304,136
2014-10,831,604,1193,1430,1051,1441,1389,1502,1116,1129,1820,673,588,773,1146,696,677,926,550,327,580,756,524,592,1292,113
2014-11,728,475,1113,1306,901,1183,1114,1450,957,875,1536,452,455,646,986,615,583,902,472,318,524,629,392,543,1219,103
2014-12,778,501,1088,1362,983,1288,1133,1295,957,852,1563,443,508,676,1005,659,599,834,491,306,474,651,452,491,1197,118
2015-01,731,447,1036,1334,960,1216,1093,1324,963,781,1626,414,465,652,964,677,617,818,419,316,561,618,392,521,1227,127
2015-02,529,362,745,1004,708,1028,834,1054,755,642,1238,347,411,538,771,544,571,679,315,265,390,524,316,436,911,104
2015-03,750,502,1098,1339,942,1360,1229,1358,986,941,1719,468,462,669,1000,669,633,824,429,308,555,701,462,541,1208,114
2015-04,790,508,1081,1312,925,1356,1390,1284,1024,973,1599,484,460,714,1013,650,591,853,448,322,498,682,454,478,1145,100
